赣州	Ganzhou	江西	CN	25.8466	114.9326
阿拉木图	Almaty	Almaty	KZ	43.2525	76.9115
喀土穆	Khartoum	喀土穆州	SD	15.5518	32.5324
汉堡	Hamburg	汉堡	DE	53.5507	9.9930
札幌市	Sapporo	北海道	JP	43.0667	141.3500
Songjiang	Songjiang	上海市	CN	31.0344	121.2233
阿克拉	Accra	Greater Accra	GH	5.5560	-0.1969
库里奇巴	Curitiba	巴拉那州	BR	-25.4278	-49.2731
鄂尔多斯市	Ordos	内蒙古	CN	39.6086	109.7816
萨那	Sanaa	Amanat Alasimah	YE	15.3545	44.2065
科纳克里	Conakry	Conakry	GN	9.5380	-13.6773
坦格朗	Tangerang	万丹省	ID	-6.1781	106.6300
蒂华纳	Tijuana	下加利福尼亚州	MX	32.5027	-117.0037
海得拉巴	Hyderabad	信德省	PK	25.3969	68.3772
贝鲁特	Beirut	Beirut	LB	33.8933	35.5016
揭阳	Jieyang	广东	CN	23.5418	116.3658
吉林	Jilin	吉林	CN	43.8465	126.5608
Jiading	Jiading	上海市	CN	31.3858	121.2446
布加勒斯特	Bucharest	Bucharest	RO	44.4323	26.1063
Camayenne	Camayenne	Conakry	GN	9.5350	-13.6878
卡卡梅加	Kakamega	卡卡梅加郡	KE	0.2842	34.7523
商丘市	Shangqiu	河南	CN	34.4143	115.6561
南充	Nanchong	四川	CN	30.7951	106.0847
台南市	Tainan	台湾省 or 台湾省	TW	22.9908	120.2133
大同市	Datong	山西	CN	40.0936	113.2914
卡杜纳	Kaduna	卡杜纳州	NG	10.5264	7.4388
恩图曼	Omdurman	喀土穆州	SD	15.6445	32.4777
达沃市	Davao	达沃区	PH	7.0731	125.6128
塔那	Thane	马哈拉施特拉邦	IN	19.1970	72.9635
伊斯塔帕拉帕	Iztapalapa	墨西哥城市	MX	19.3553	-99.0622
迪亚巴克尔	Diyarbakir	迪亚巴克尔省	TR	37.9136	40.2172
Santa Cruz de la Sierra	Santa Cruz de la Sierra	圣克鲁斯省	BO	-17.7863	-63.1812
瓦多达拉	Vadodara	古吉拉特邦	IN	22.2994	73.2081
阿达纳	Adana	阿达纳省	TR	36.9862	35.3253
南阳市	Nanyang	河南	CN	33.0052	112.5466
阿布扎比	Abu Dhabi	阿布扎比酋长国	AE	24.4512	54.3970
巨港	Palembang	南苏门答腊省	ID	-2.9167	104.7458
夏尔迦	Sharjah	Sharjah	AE	25.3342	55.4122
博帕尔	Bhopal	中央邦	IN	23.2547	77.4029
江门	Jiangmen	广东	CN	22.5833	113.0833
贝宁城	Benin City	埃多州	NG	6.3381	5.6258
澄江	Jiangyin	江苏	CN	31.9110	120.2630
阜阳市	Fuyang	安徽	CN	32.9000	115.8167
蒙特利尔	Montreal	Quebec	CA	45.5088	-73.5878
巴彦淖尔市	Bayan Nur	内蒙古	CN	40.7414	107.3860
马拉开波	Maracaibo	Zulia	VE	10.6423	-71.6109
潮州	Chaozhou	广东	CN	23.6540	116.6226
明斯克市	Minsk	明斯克	BY	53.9002	27.5665
布达佩斯	Budapest	Budapest	HU	47.4984	19.0404
清远	Qingyuan	广东	CN	23.7000	113.0333
泰安市	Tai'an	山东	CN	36.1853	117.1200
Rasapūdipalem	Rasapudipalem	安得拉邦	IN	17.7331	83.3162
宾布里金杰沃德	Pimpri-Chinchwad	马哈拉施特拉邦	IN	18.6187	73.8037
加洛坎	Caloocan	National Capital Region	PH	14.6495	120.9679
华沙	Warsaw	Mazovia	PL	52.2298	21.0118
索韦托	Soweto	豪登省	ZA	-26.2678	27.8585
三宝珑	Semarang	中爪哇省	ID	-6.9931	110.4208
普埃布拉	Puebla	普埃布拉州	MX	19.0478	-98.2072
维也纳	Vienna	State of Vienna	AT	48.2085	16.3721
巴塞罗那	Barcelona	Catalonia	ES	41.3888	2.1590
巴特那	Patna	比哈尔邦	IN	25.5941	85.1356
摩苏尔	Mosul	尼尼微省	IQ	36.3350	43.1189
Kallakurichi	Kallakurichi	泰米尔纳德邦	IN	11.7338	78.9592
坎帕拉	Kampala	中部区	UG	0.3163	32.5822
西宁市	Xining	青海	CN	36.6255	101.7574
Changshu	Changshu	江苏	CN	31.6461	120.7422
淮南市	Huainan	安徽	CN	32.6264	116.9969
拉巴特	Rabat	Rabat-Salé-Kénitra	MA	34.0132	-6.8326
累西腓	Recife	伯南布哥州	BR	-8.0539	-34.8811
凤凰城	Phoenix	亚利桑那州	US	33.4484	-112.0740
宿州市	Suzhou	安徽	CN	33.6361	116.9789
Ecatepec de Morelos	Ecatepec de Morelos	墨西哥州	MX	19.6049	-99.0606
六安	Lu'an	安徽	CN	31.7356	116.5169
巴伦西亚	Valencia	Carabobo	VE	10.1615	-68.0004
卢迪亚纳	Ludhiana	旁遮普邦	IN	30.9120	75.8538
盐城市	Yancheng	江苏	CN	33.3575	120.1573
新西伯利亚	Novosibirsk	新西伯利亚州	RU	55.0226	82.9317
埃尔比勒省	Erbil	埃尔比勒省	IQ	36.1912	44.0094
福冈市	Fukuoka	福冈县	JP	33.6000	130.4167
泰州市	Taizhou	江苏	CN	32.4907	119.9081
大庆	Daqing	黑龙江	CN	46.5833	125.0000
马尼拉	Manila	National Capital Region	PH	14.6042	120.9822
芜湖	Wuhu	安徽	CN	31.3526	118.4295
克雷塔罗	Santiago de Queretaro	克雷塔罗州	MX	20.5881	-100.3881
达州	Dazhou	四川	CN	31.2106	107.4631
扬州市	Yangzhou	江苏	CN	32.3972	119.4358
León de los Aldama	Leon de los Aldama	瓜纳华托州	MX	21.1218	-101.6825
麦加	Makkah	Mecca Region	SA	21.4266	39.8256
费城	Philadelphia	宾夕法尼亚州	US	39.9524	-75.1636
金边	Phnom Penh	Phnom Penh	KH	11.5625	104.9160
桂林市	Guilin	广西	CN	25.2802	110.2964
大马士革	Damascus	大马士革省	SY	33.5102	36.2913
奎达	Quetta	俾路支省	PK	30.1841	67.0014
肇庆市	Zhaoqing	广东	CN	23.0489	112.4609
奥尼查	Onitsha	阿南布拉州	NG	6.1498	6.7857
绵阳	Mianyang	四川	CN	31.4678	104.6817
奥克兰都会区	Auckland	奥克兰大区	NZ	-36.8485	174.7635
伊斯法罕	Isfahan	伊斯法罕省	IR	32.6525	51.6746
万州区	Wanzhou	重庆市	CN	30.7645	108.3959
阿斯塔纳	Astana	Astana	KZ	51.1801	71.4460
哈拉雷	Harare	哈拉雷省	ZW	-17.8277	31.0534
蒙罗维亚	Monrovia	蒙特塞拉多县	LR	6.3005	-10.7969
